"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0009168","purine ribonucleoside monophosphate biosynthetic process",20,-0.657655357063033,-1.77683480541809,0.00232845694075493,0.0222995767337549,0.0175283463260705,1086,"tags=60%, list=8%, signal=55%","237823/229363/66355/108147/11564/14450/231327/11486/109674/11534/105446/23918"
"GO:0070098","chemokine-mediated signaling pathway",49,0.502972471535485,1.73681548046193,0.00232708295901869,0.0222995767337549,0.0175283463260705,1457,"tags=37%, list=11%, signal=33%","17300/20302/12778/20315/15251/57349/20296/20307/226178/108737/15945/14825/20292/20311/83433/64095/20306/12768"
"GO:0007127","meiosis I",86,-0.450822922731831,-1.62359928924266,0.00233304574100113,0.0222995767337549,0.0175283463260705,2729,"tags=42%, list=21%, signal=33%","72787/224727/21973/623474/17535/76850/21749/71711/67052/76915/12448/237911/110147/235559/19366/234396/114714/268465/19362/74377/18817/211651/23997/20878/69716/11799/214901/105988/19183/12442/19361/12447/12531/30939/17350/66197"
"GO:0051346","negative regulation of hydrolase activity",173,0.342064822838786,1.46947151916514,0.00232726731720513,0.0222995767337549,0.0175283463260705,2958,"tags=37%, list=23%, signal=29%","16600/235505/22339/12380/16644/69601/18788/20710/213945/209378/93806/20716/20706/20715/94227/216742/59083/628900/13853/19288/20707/110595/14824/20720/20717/76260/100040462/19225/20723/67338/20568/59009/238393/16625/282663/67770/12633/20708/68054/15950/21788/68581/26569/18125/18127/12258/20726/67701/66725/57875/20719/19735/380839/24063/19777/11826/241289/16847/18779/78816/13014/14433/20111/71907"
"GO:0044804","nucleophagy",22,0.612717140198905,1.79668951772234,0.00237696263838089,0.0226714094686076,0.0178206215127113,1902,"tags=45%, list=15%, signal=39%","12421/71742/209131/329015/67526/22241/51897/242557/54636/29869"
"GO:0009130","pyrimidine nucleoside monophosphate biosynthetic process",17,-0.700809056541524,-1.82655084216352,0.00238678254685929,0.0227089592992842,0.0178501371597768,2546,"tags=53%, list=19%, signal=43%","22245/69719/13178/22247/18103/20425/110074/18102/22171"
"GO:0043588","skin development",227,0.319315559107885,1.40510442962435,0.00239094550463598,0.0227089592992842,0.0178501371597768,2561,"tags=30%, list=20%, signal=24%","22410/17300/22234/14042/19877/11774/16600/98376/80859/16175/11886/14284/74127/235505/19664/17979/13649/64010/380614/20761/20249/230709/27419/386463/14465/81535/50523/71913/18590/20762/19878/103213/26395/19225/13039/19156/13603/16776/240025/11479/12614/14178/105171/93746/381269/12633/52609/17918/110310/21816/26569/14977/56338/20759/54135/101706/66195/13115/170644/11789/67694/19165/11977/494504/17128/320713/18015"
"GO:0009127","purine nucleoside monophosphate biosynthetic process",22,-0.63213147068623,-1.75159452746814,0.00240134154455885,0.0227598849537747,0.0178901667316135,1086,"tags=59%, list=8%, signal=54%","237823/229363/66355/13178/108147/11564/14450/231327/11486/109674/11534/105446/23918"
"GO:1902101","positive regulation of metaphase/anaphase transition of cell cycle",16,-0.706544798492634,-1.81340058938852,0.00244228573397441,0.0230995267851429,0.0181571385992019,2172,"tags=69%, list=17%, signal=57%","66156/66591/56317/66468/219114/68612/107995/69957/59008/17120/52563"
"GO:0009112","nucleobase metabolic process",28,-0.623512284087767,-1.79502192704702,0.00246668317708111,0.0232815754563334,0.0183002360308226,897,"tags=36%, list=7%, signal=33%","14450/99982/231327/11486/20425/20133/11534/105446/19139/22171"
