"feature","DHMR001","DHMR002","DHMR003","DHMR004","DHMR005","DHMR006","DHMR007","DHMR008"
"0610005C13Rik",0,2,3.4594316186373,2.58496250072116,2,1,2.58496250072116,3.16992500144231
"0610007P14Rik",9.38370429247405,10.5381889320524,10.5420645422834,10.4008794362822,10.6220518194564,9.37068740680722,10.3998119593257,10.4604558963096
"0610009B22Rik",8.94544383637791,9.82654848729091,9.99859042974533,9.96866679319521,10.0728025345442,9.00281501560705,9.90839262077375,10.1019756709492
"0610009L18Rik",3.58496250072116,4.85798099512757,5.20945336562895,5.08746284125034,5.35755200461808,4.16992500144231,5.20945336562895,5.4594316186373
"0610009O20Rik",9.67948009950545,10.4304525516655,10.5755392468345,10.5137275959524,10.5186531556734,9.55650605467193,10.3782948559119,10.4625022725973
"0610010F05Rik",8.73131903102506,10.1674181458317,9.42206476617281,9.7797193551434,9.71938882094208,9.14465824283188,10.4696418172395,9.76652890859886
"0610010K14Rik",9.34207466799914,10.0566377151132,10.1947568544222,10.2082343583398,10.243173983473,9,9.86263735755879,10.0808175276083
"0610011F06Rik",7.8008998999203,8.72109918870719,8.95710204156229,8.74146698640115,8.75488750216347,7.88874324889826,8.64024493622235,8.78463484555752
"0610012G03Rik",7.74146698640115,8.82017896241519,8.78135971352466,8.67595703294175,8.87958324961278,7.8008998999203,8.38370429247405,8.72109918870719
"0610030E20Rik",8.92481250360578,9.91438513215544,10.120237877342,10.1369911120802,10.0687782779854,9.06877827798541,10.3037807481771,10.3162815317462
"0610037L13Rik",9.25502856981873,10.1686721181322,10.3987436919382,10.2772874001304,10.311748315005,9.25266543245025,10.1636496760158,10.4314976042581
"0610038B21Rik",2.58496250072116,2.58496250072116,3.32192809488736,3.4594316186373,3.32192809488736,2,1.58496250072116,3.4594316186373
"0610040B10Rik",3.90689059560852,4.08746284125034,4.95419631038687,4.58496250072116,4.24792751344359,3.8073549220576,3.90689059560852,4.85798099512757
"1110001J03Rik",6.4757334309664,7.08746284125034,7.40087943628218,7.4178525148859,7.35755200461808,6.2667865406949,6.70043971814109,7.43462822763672
"1110002L01Rik",5.58496250072116,6.24792751344359,6.10852445677817,6.4757334309664,6.20945336562895,5.8073549220576,6.08746284125034,6.3037807481771
