"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"Cr2","Group_safe",0.831909030887942,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.71157141193795,-0.490919544771107
"Crabp1","Group_safe",0.169765891343912,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.71835804110732,0.781030671116689
"Crabp2","Group_safe",0.570795430704073,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.934242017231326,-0.0981317635491848
"Cracr2a","Group_safe",0.487834226474579,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",2.54591953596239,1.34818682344098
"Cracr2b","Group_safe",0.721288426591113,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.04722903384919,0.0665770008770628
"Cradd","Group_safe",0.571412270745511,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.04835193677826,0.0681231178393146
"Cramp1l","Group_safe",0.0418335442739893,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.88816108510532,-0.171106734070397
"Crat","Group_safe",0.226689008273521,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.0717683865231,0.099993167253478
"Crb1","Group_safe",0.743449603765682,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.69587536755523,0.762030147957142
"Crb2","Group_safe",0.566859975323869,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",2.36467656846015,1.24164287067337
"Crbn","Group_safe",0.136626979112094,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.867669382121725,-0.204782673918721
"Crcp","Group_safe",0.512838919270924,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.956773517657266,-0.0637506368660554
"Crct1","Group_safe",0.60551976203883,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.674318896859959,-0.568497067109918
"Creb1","Group_safe",0.233115804716871,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.829125827337933,-0.270337034539916
"Creb3","Group_safe",0.784740916066021,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.01618106341204,0.0231574848002333
"Creb3l1","Group_safe",0.632721175902086,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.03889766085677,0.0550535450542362
"Creb3l2","Group_safe",0.116499336084761,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.09478874147287,0.130652503585351
"Creb3l3","Group_safe",0.681963953979621,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.915268441381778,-0.127733157772994
