"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"Thap11","Group_safe",0.997737067750213,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00064368313712,0.00092833972355939
"Thap2","Group_safe",0.90110588015344,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.0309597607438,0.043988024162584
"Thap3","Group_safe",0.997859390924282,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00064364744627,0.000928288265670546
"Thap4","Group_safe",0.997737067750213,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00064368313712,0.00092833972355939
"Thap6","Group_safe",0.998181392475538,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00064145503864,0.000925127321122908
"Thap7","Group_safe",0.907976562303089,0.999896708633522,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.972851962095567,-0.0397078066326719
"Thbd","Group_safe",0.997737180701233,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00064367574112,0.000928329060250177
"Thbs1","Group_safe",0.99702828994451,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.0006437661583,0.000928459420753462
"Thbs2","Group_safe",0.997308146747233,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00064374750445,0.000928432526245589
"Thbs3","Group_safe",0.901027480375782,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.03098624089898,0.0440250792440723
"Thbs4","Group_safe",0.999085048601314,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00065515054317,0.000944872956432213
"Them4","Group_safe",0.997991186392775,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00064359688104,0.000928215362378023
"Them6","Group_safe",0.997859390924282,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00064364744627,0.000928288265670546
"Themis","Group_safe",0.634137491298977,0.999896708633522,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.768710019854107,-0.379488621298519
"Thg1l","Group_safe",0.910498569840269,0.999896708633522,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.974313913350637,-0.0375414270256474
"Thnsl1","Group_safe",0.997922677018777,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00064397467766,0.000928760057027692
"Thnsl2","Group_safe",0.879798808898952,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.05057109504603,0.0711737964704733
"Thoc1","Group_safe",0.997737067750213,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00064368313712,0.00092833972355939
"Thoc2","Group_safe",0.906577517466291,0.999896708633522,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.972038164428878,-0.0409151364561174
"Thoc3","Group_safe",0.997737067750213,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00064368313712,0.00092833972355939
"Thoc5","Group_safe",0.997621966139957,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00064370781827,0.00092837530802207
"Thoc6","Group_safe",0.997828242434305,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00064356618594,0.000928171107189789
"Thoc7","Group_safe",0.997621966139957,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00064370781827,0.00092837530802207
"Thop1","Group_safe",0.997621966139957,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00064370781827,0.00092837530802207
"Thpo","Group_safe",0.998507214734767,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00064390063815,0.000928653309335542
"Thra","Group_safe",0.912339745661726,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.02391340628663,0.0340937098658642
